Country, Country Code, Network, Outbound Message Costs
,,FarEasTone (DCS),0.8
,,FarEasTone Mobitai TransAsia,1
,,KGT (DCS),0.8
,,Mobitai (GSM),0.8
,,Taiwan Mobile Co (TCC),0.8
,,TransAsia,0.8
,,VIBO Telecom,0.8
Tajikistan,992,,
,,Babilon-Mobile,0.8
,,Indigo,0.8
,,JC Somoncom,0.8
,,TT Mobile,1.5
Tanzania,255,,
,,Celltel,0.8
,,"Tigo (MIC, Mobitel)",0.8
,,Vodacom (T) Ltd.,0.8
,,Zantel Ltd.,0.8
Thailand,66,,
,,AIS (Advanced Info Service),0.8
,,Digital Phone Co,0.8
,,TAC (DTAC),0.8
,,True Move (Orange),0.8
Togo,228,,
